First Name,Last Name,email,DOB,Mobile,Sold At,Entry Status,People In,Entry Time,Event ID,Event Name,Ticket Type ID,Ticket Type Name,Ticket Type Category,Price,Currency,Ticket Reference
Alex,Goop,email@email.com,D-O-B,PHONE,SOLD AT,ENTRY,1,ENTRY TIME,EVENT ID,EVENT NAME,TICKET TYPE ID,EXCS Member Ticket,Uncategorised,PRICE,GBP,ABCDEF
Andrea,Lodson,email@email.com,D-O-B,PHONE,SOLD AT,ENTRY,1,ENTRY TIME,EVENT ID,EVENT NAME,TICKET TYPE ID,Non-Member Ticket,Uncategorised,PRICE,GBP,ABCDEF
Cameron,Hutchinson,email@email.com,D-O-B,PHONE,SOLD AT,ENTRY,1,ENTRY TIME,EVENT ID,EVENT NAME,TICKET TYPE ID,EXCS Member Ticket,Uncategorised,PRICE,GBP,ABCDEF
Peter,Symonds,email@email.com,D-O-B,PHONE,SOLD AT,ENTRY,1,ENTRY TIME,EVENT ID,EVENT NAME,TICKET TYPE ID,Non-Member Ticket,Uncategorised,PRICE,GBP,ABCDEF
Charlie,Day,email@email.com,D-O-B,PHONE,SOLD AT,ENTRY,1,ENTRY TIME,EVENT ID,EVENT NAME,TICKET TYPE ID,EXCS Member Ticket,Uncategorised,PRICE,GBP,ABCDEF
Mac,De Marco,email@email.com,D-O-B,PHONE,SOLD AT,ENTRY,1,ENTRY TIME,EVENT ID,EVENT NAME,TICKET TYPE ID,EXCS Member Ticket,Uncategorised,PRICE,GBP,ABCDEF
James,Pilcher,email@email.com,D-O-B,PHONE,SOLD AT,ENTRY,1,ENTRY TIME,EVENT ID,EVENT NAME,TICKET TYPE ID,EXCS Member Ticket,Uncategorised,PRICE,GBP,ABCDEF
Timothy,G-B,email@email.com,D-O-B,PHONE,SOLD AT,ENTRY,1,ENTRY TIME,EVENT ID,EVENT NAME,TICKET TYPE ID,EXCS Member Ticket,Uncategorised,PRICE,GBP,ABCDEF
Mark,Corrigan,email@email.com,D-O-B,PHONE,SOLD AT,ENTRY,1,ENTRY TIME,EVENT ID,EVENT NAME,TICKET TYPE ID,EXCS Member Ticket,Uncategorised,PRICE,GBP,ABCDEF
Liar,Liar,email@email.com,D-O-B,PHONE,SOLD AT,ENTRY,1,ENTRY TIME,EVENT ID,EVENT NAME,TICKET TYPE ID,EXCS Member Ticket,Uncategorised,PRICE,GBP,ABCDEF
Steven,Backshall,email@email.com,D-O-B,PHONE,SOLD AT,ENTRY,1,ENTRY TIME,EVENT ID,EVENT NAME,TICKET TYPE ID,EXCS Member Ticket,Uncategorised,PRICE,GBP,ABCDEF
Ken,Plopson,email@email.com,D-O-B,PHONE,SOLD AT,ENTRY,1,ENTRY TIME,EVENT ID,EVENT NAME,TICKET TYPE ID,EXCS Member Ticket,Uncategorised,PRICE,GBP,ABCDEF
